generation_N,generation N
document_N,dokument_N
specification_N,specifikation_N
identify_V2,identifiera_V2
dot_V2,punkt_N
pitch_N,topp_N
double_N,dubble_N
density_N,densitet_N
down_+_load_V2,hämta_V2
drag_V2,dra_V2
drop_N,fall_N
package_N,förpackning_N
core_N,kärna_N
region_N,område_N
game_N,spel_N
dynamic_A,dynamisk_A
exchange_N,utbyte_N
host_N,mängd_N
link_V2,knyta_V2
random_A,slumpmässigt_A
international_A,internationell_A
learning_N,bildning_N
electronically_Adv,elektroniskt_Adv
store_V2,lagra_V2
electronic_A,elektronisk_A
interchange_N,utbyte_N
delay_N,försening_N
calculator_N,miniräknare_N
frontier_N,gräns_N
foundation_N,grund_N
identity_N,identitet_N
card_N,kort_N
mail_N,mail_N
elliptic_A,elliptisk_A
curve_N,kurva_N
elm_N,alm_N
encrypt_V2,kryptera_V2
end_N,slut_N
day_N,dag_N
licence_N,legitimation_N
agreement_N,avtal_N
enhance_V2,höja_V2
evolution_N,utveckling_N
interior_N,inrede_N
resource_N,resurs_N
estimate_VS,uppskatta_VS
event_N,fall_N
trace_V2,spåra_V2
format_N,format_N
expand_V2V,utöka_V2V
expense_N,utgift_N
cost_N,kostnad_N
explicit_A,tydlig_A
notification_N,meddelande_N
industry_N,industri_N
triton_N,triton_N
hint_N,antydan_N
markup_N,påslag_N
meta_N,meta_N
presence_N,närvaro_N
tag_N,tagg
framework_N,system_N
exterior_N,yttre_N
external_A,yttre_A
sata_N,sata_N
extract_N,utdrag_N
transform_V2,transformera_V2
load_N,laddning_N
extreme_A,extrem_A
low_Adv,lågt_Adv
frequency_N,frekvens_N
fear_N,rädsla_N
uncertainty_N,osäkerhet_N
doubt_N,tvivel_N
fedora_N,fedora_N
antenna_N,antenn_N
effect_V2,effekt_N
gate_N,grind_N
replaceable_A,ersättlig_A
allocation_N,fördelning_N
hierarchy_N,hierarki_N
convergence_N,konvergens_N
output_N,utdata_N
instance_N,instans_N
assembly_N,församling_N
correction_N,rättelse_N
dictionary_N,lexikon_N
front_N,front_N
side_N,sida_N
ssh_N,ssh_N
full_A,full_A
future_A,framtida_A
garbage_N,skräp_N
geographic_A,geografisk_A
geography_N,geografi_N
gigabit_N,gigabit_N
gigabyte_N,gigabyte_N
globalization_N,globalisering_N
global_A,global_A
unique_A,unik_A
identifier_N,identifierare_N
collection_N,samling_N
documentation_N,dokumentation_N
privacy_N,privatliv_N
guard_N,vakt_N
group_N,grupp
recording_N,inspelning_N
partition_N,del_N
hard_A,svår_A
description_N,beskrivning_N
hertz_N,hertz_N
hierarchical_A,hierarkisk_A
temporal_A,temporär_A
performance_N,prestanda_N
speed_N,hastighet_N
throughput_N,genomströmning_N
versatile_A,allsidig_A
priority_N,prioritet_N
rapid_A,snabb_A
stream_V,strömma_V
interaction_N,interaktion_N
hybrid_N,hybrid_N
hyperlink_N,hyperlänk_N
hypertext_N,hypertext_N
monochrome_N,monokrom_N
input_N,indata_N
editor_N,utgivare_N
facility_N,möjlighet_N
intellectual_A,intellektuell_A
intelligent_A,intelligent_A
interactive_A,interaktiv_A
virtual_A,virtuell_A
classroom_N,klassrum_N
voice_N,röst_N
intermediate_A,mellan_A
commission_N,kommission_N
internationalization_N,internationalisering_N
localization_N,lokalisering_N
internationalize_V2,internationalisera_V2
organization_N,organisation_N
union_N,union_N
assign_V2V,tilldela_V2V
authority_N,myndighet_N
connection_N,uppkoppling_N
report_N,rapport_N
suite_N,svit_N
relay_N,relä_N
chat_N,prat_N
storm_N,storm_N
handler_N,hanterare_N
interval_N,intervall_N
intrusion_N,intrång_N
countermeasure_N,motåtgärd_N
prevention_N,förebyggande_N
panel_N,panel_N
community_N,grupp_N
extension_N,förlängning_N
class_N,klass_N
native_N,infödd_N
edition_N,upplaga_N
remote_A,avlägsen_A
invocation_N,invokation_N
job_N,arbete_N
entry_N,inträde_N
subsystem_N,subsystem_N
test_N,test_N
action_N,handling_N
compilation_N,kompilering_N
keyboard_N,tagnentbord_N
kibi_+_byte_N,kibibyte_N
kilobit_N,kilobit_N
kilobyte_N,kilobyte_N
kilohertz_N,kilohertz_N
knowledge_N,kunskap_N
grid_N,rutnät_N
scale_N,skala_N
recent_A,färsk_A
significant_A,viktig_A
diode_N,diod_N
lightweight_A,lätt_A
feed_N,flöde_N
aggregation_N,aggregation_N
scratch_N,repa_N
kernel_N,kärna_N
professional_A,professionell_A
silicon_N,silikon_N
local_A,lokal_A
logical_A,logisk_A
volume_N,volym_N
term_N,term
insertion_N,införande_N
voltage_N,spänning_N
magnetic_A,magnetisk_A
recognition_N,igenkännande_N
main_A,huvudsaklig_A
mandatory_A,obligatoriskt_A
role_N,roll_N
master_N,mästare_N
maximum_A,maximal_A
transmission_N,överföring_N
medium_N,medium_N
megabit_N,megabit_N
megabyte_N,megabyte_N
megahertz_N,megahertz_N
channel_N,kanal_N
microprocessor_N,mikroprocessor_N
million_N,miljon_N
minimum_N,minimum_N
ad_N,ad_N
world_N,värld_N
congress_N,kongress_N
mortality_N,dödlighet_N
medical_A,medicinsk_A
picture_N,bild_N
expert_N,expert_N
factor_N,faktor_N
image_V2,bild_N
label_N,etikett_N
instrument_N,instrument_N
application_N,tillämpning_N
negative_A,negativ_A
news_N,nyheter_N
appliance_N,tillämpning_N
internal_A,intern_A
uniform_N,uniform_N
spline_N,lister_N
volatile_A,labil_A
laptop_N,laptop_N
child_N,barn_N
analytical_A,analytisk_A
transaction_N,transaktion_N
utility_N,nytta_N
path_N,väg_N
initiative_N,initiativ_N
interconnection_N,sammanlänkning_N
acceptance_N,godkännande_N
convention_N,konvention_N
organic_A,organisk_A
original_N,original_N
manufacturer_N,tillverkare_N
orthogonal_A,ortogonal_A
password_N,lösenord_N
express_N,express_N
instrumentation_N,instrumentering_N
peer_N,jämlike_N
peripheral_N,kringutrustning_N
interconnect_V2,sammanlänka_V2
perl_N,perl_N
regular_A,regelbundna_A
expression_N,uttryck_N
persistent_A,ständig_A
assistant_N,assistent_N
php_N,php_N
micro_+_controller_N,mikrokontroller_N
pin_N,stift_N
pixel_N,pixel_N
old_A,gammal_A
control_V2,kontrollera_V2 
listV2V,lista_V2V
time_V2,tajma_V2
acoustic_A,akustisk_A
current_A,nurvarande_A
liquid_A,flytande_A
display_VS,uppvisa_VS
monitor_V2,övervaka_V2
page_V2,söka_V2
object_V2,invända_V2
cache_V2,gömma_V2
address_V2,rikta_V2
space_V2,fördela_V2
flash_V2,blinka_V2
power_V2,driva_V2
standard_A,standard_A
sound_V2,ljuda_V2
research_V2,efterforska_V2
project_VS,framhäva_VS
state_VS,konstatera_VS
rate_VS,räknas_VS
institute_V2,införa_V2
number_V2,omfatta_V2
escape_VS,fly_VS
border_V2,gränsa_V2
transfer_V2,överföra_V2
call_V3,ringa_V3
averige_A,genomsnittlig_A
plane_V2,plana_V2
file_V2,arkivera_V2
block_V2,hindra_V2
map_V2,kartlägga_V2
order_VV,beställa_VV
mark_V3,markera_V3
fault_V2,kritisera_V2
sense_VS,förstå_VS
multiple_A,multipel_A
ray_V2,stråla_V2
challenge_V2,utmana_V2
chief_A,högsta_A
command_V2,kräva_V2
value_V2,värdera_V2
commercial_A,kommersiell_A
common_A,vanlig_A
request_VS,begära_VS
public_A,offentlig_A
support_VV,hjälpa_VV
function_V,fungera_V
complex_A,komplex_A 
set_VV,sätta_VV
component_A,del_A
fluid_A,flytande_A
free_V2V,fria_V2V
update_V2,uppdatera_V2
check_V2,kontrollera_V2
attack_V2,angripa_V2
act_VA,handla_VA
document_V2,dokumentera_V2
double_V2,dubbla_V2
double_Adv,dubbelt_Adv
drop_V2,släppa_V2
game_V2,spela_v2
exchange_V2,byta_V2
learn_VV,lära_VV
interchange_V2,växla_V2
mail_V2,posta_V2
curve_V2,svänga_V2
end_VA,avsluta_VA
license_V2,licensiera_V2
interior_A,inre_A
hint_VS,antyda_VS 
exterior_A,yttre_A
extract_V2,hämta_V2
load_V2,ladda_V2
doubt_VS,tvivla_VS
partition_V2,dela_V2
hard_Adv,svårt_Adv
monochrome_A,enfärgad_A
report_VS,rapportera_VS
chat_V2,prata_V2
storm_V2,storma_V2
native_A,inhemsk_A
job_V2,arbeta_V2 
scale_V2,förstora_V2
scratch_V2,repa_V2
master_V2,bemästra_V2
label_V3,beteckna_V3
uniform_A,enhetlig_A
original_A,ursprunglig_A 
express_V2,uttrycka_V2
express_Adv,express_Adv
peer_V,kika_V
peripheral_A,yttre_A
course_N,kurs_N
prerequisite_N,förkunskapskrav_N
design_N,design_N
principle_N,princip_N
aim_N,mål_N
component_N,komponent_N
technical_A,teknisk_A
functional_A,funktionell_A
execute_V2,exekvera_V2
fast_Adv,snabb_Adv
fast_A,snabb_A
efficient_A,effektiv_A
progress_N,framgång_N
engineering_N,ingenjörskonst_N
convert_V2,omvandla_V2
raw_N,rå_N
software_N,mjukvara_N
structure_N,struktur_N
parallelism_N,parallelism_N
high_A,hög_A
outcome_N,utfall_N
completion_N,komplettering_N
concept_N,koncept_N
modern_A,modern_A
advance_N,framsteg_N
field_N,fält_N
advance_V2,avancerad_V2
technique_N,teknik_N
parallel_N,parallel_N
parallel_A,parallel_A
establish_V2,etablera_V2
assess_V2,bedöma_V2
proficiency_N,skicklighet_N
quantitative_A,kvantitiv_A
impact_N,verkan_N
architectural_A,arkitekturell_A
state_N,tillstånd_N
simulation_N,simulering_N
tool_N,verktyg_N
content_N,innehåll_N
essential_N,essentiell_A
achieve_V2,uppnå_V2
base_V2,basera_V2
analysis_N,analys_N
assessment_N,bedömning_N
consumption_N,konsumption_N
part_N,del_N
affect_V2,påverka_V2
evolution_N,evolution_N
include_VV,inkludera_VV
law_N,lag_N
execution_N,exekvering_N
fundamental_N,fundamental_N
locality_N,lokalitet_N
evaluate_V2,evaluera_V2
level_N,nivå_N
define_V2,definera_V2
limit_N,gräns_N
category_N,kategori_N
dynamic_N,dynamik_N
static_A,statisk_A
algorithm_N,algoritm_N
branch_N,gren_N
prediction_N,förutsägelse_N
speculation_N,spekulering_N
loop_N,loop_N
different_A,annorlunda_A
bottleneck_N,flaskhals_N
reduce_V2,minska_V2
miss_N,miss_N
penalty_N,bestraffning_N
hit_N,träff_N
example_N,exempel_N
free_N,fri_N
address_V2,adressera_V2
linear_A,linjär_A
algebra_N,algebra_N
probability_N,sannolikhet_N
theory_N,teori_N
program_V2V,program_V2V
desirable_A,önskvärd_A
image_N,bild_N
overview_N,översikt_N
practical_A,praktisk_A
measurement_N,mått_N
develop_V2,utveckla_V2
solve_V2,lösa_V2
problem_N,problem_N
derive_V2,derivera_V2
geometry_N,geometri_N
optimization_N,optimering_N
statistics_N,statistik_N
grade_V2,betyg_V2
camera_N,kamera_N
modelling_N,modellering_N
stereo_N,stereo_N
mathematical_A,matematisk_A
central_N,central_N
square_N,kvadrat_N
apply_VV,applicera_VV
terminology_N,terminologi_N
structure_V2,struktur_V2
solution_N,lösning_N
geometric_A,geometrisk_A
exercise_N,övning_N
session_N,session_N
pair_N,par_N
submission_N,inlämning_N
result_N,resultat_N
lecture_N,föreläsning_N
article_N,artikel_N
university_N,universitet_N
element_N,element_N
programming_N,programmering_N
model_N,modell_N
chip_N,chip_N
share_V2,dela_V2
thread_N,tråd_N
scientific_A,vetenskaplig_A
literature_N,litteratur_N
sequence_N,sekvens_N
lab_N,labb_N
methodology_N,metodologi_N
systematically_Adv,systematisk_Adv
assembly_N,assembly_N
sustainability_N,hållbarhet_N
compute_V2,beräkna_V2
sustainable_A,hållbar_A
electrical_A,elektrisk_A
mechanism_N,mekanism_N
storage_N,lagring_N
energy_N,energi_N
operate_V2,operera_V2
optimize_V2,optimisera_V2
interpret_V2,interpretera_V2
requirement_N,krav_N
measure_V2,mäta_V2
estimate_VS,estimera_VS
save_V2,spara_V2
generation_N,generation_N
practice_N,praktiken_N
discrete_A,diskret_A
complexity_N,komplexitet_N
kind_N,sort_N
context_N,kontext_N
transportation_N,transportering_N
physics_N,fysik_N
numerical_A,numerisk_A
modeling_N,modellera_N
equation_N,ekvation_N
molecular_A,molekylär_A
integration_N,integration_N
planning_N,planering_N
hardware_N,hårdvara_N
property_N,egenskap_N
optimal_A,optimal_A
formulate_V2,formulera_V2
model_V2,modellera_V2
manageable_A,hanterlig_A
relate_V2,relatera_V2
generic_A,generisk_A
additional_A,ytterligare_A
heuristic_N,heuristik_N
dual_A,dubbel_A
obtain_V2,erhålla_V2
program_V2V,programmera_V2V
integer_N,heltal_N
special_A,särskild_A
separate_V2,åtskilja_V2
stack_N,stack_N
distribute_V2,distribuera_V2
service_N,tjänst_N
summarize_V2,summera_V2
introduce_V2,introducera_V2
development_N,utveckling_N
setting_N,inställning_N
link_N,länk_N
limit_V2V,gräns_V2V
scalability_N,skalbarhet_N
imperative_A,imperativ_A
vector_N,vektor_N
dimension_N,dimension_N
implement_V2,implementera_V2
process_N,process_N
functionality_N,funktionalitet_N
strict_A,strikt_A
bachelor_N,kandidat_N
dimensional_A,dimensionell_A
rendering_N,rendera_N
shadow_N,skugga_N
mathematics_N,matematisk_N
design_V2V,design_V2V
mechanical_A,mekanisk_A
safety_N,säkerhet_N
multimedia_N,multimedia_N
abstraction_N,abstraktion_N
implement_N,implementera_N
synchronization_N,synkronisering_N
node_N,nod_N
topology_N,topologi_N
embed_V2,inbädda_V2
perform_V2,utföra_V2
behavior_N,beteende_N
run_VS,köra_VS
verify_V2,verifiera_V2
set_N,set_N
good_A,bra_A
during_Prep,under_Prep
task_N,arbetsuppgift_N
decompose_V2,bryta-ned_V2
general_A,allmän_A
capacity_N,kapacitet_N
access_N,åtkomst_N
response_N,respons_N
conjunction_N,konjunktion_N
account_N,konto_N
maximum_N,maximum_N
low_Adv,låg_Adv
delay_N,fördröjning_N
correctness_N,korrekthet_N
philosophy_N,filosofi_N
complex_A,komplex_A
maintain_VS,underhålla_VS
semaphore_N,semafor_N
semantics_N,semantik_N
induction_N,induktion_N
proof_N,bevis_N
formal_A,formell_A
algebraic_A,algebraisk_A
monad_N,monad_N
transformer_N,transformator_N
property_N,egenskaper_N
construction_N,konstruktion_N
construct_V2,konstruera_V2
quick_A,snabb_A
exception_N,undantag_N
implementation_N,implementering_N
vulnerability_N,sårbarhet_N
permutation_N,permutation_N
CN artificial_A intelligence_N,CN artifiell_A intelligens_N
cipher_N,skiffer_N
cryptanalysis_N,kryptanalys_N
symmetric_A,symmetrisk_A
CN computer_N science_N,datavetenskap_N
CN software_N development_N,systemutveckling_N
CN application_N software_N,tillämpningsprogram_N
CN data_N structure_N,datastruktur_N
CN automata_N theory_N,automatteori_N
CN binary_A search_N algorithm_N,binärsökning_N
CN bit_N rate_N,överföringskapacitet_N
CN cloud_N computing_N,datormoln_N
library_ bibliotek N,programbibliotek_N
CN coding_N theory_N,kodningsteori_N
CN cognitive_A science_N,kognitionsvetenskap_N
CN computability_N theory_N,beräkningsteori_N
CN computational_A biology_N,beräkningsbiologi_N
CN computational_A chemistry_N,beräkningskemi_N
CN computational_A physics_N,beräkningsfysik_N
CN computer_N architecture_N,datorarkitektur_N
CN computer_N data_N storage_N,datorminne_N
CN computer_N graphics_N,datorgrafik_N
CN computer_N network_N,datornätverk_N
CN computer_N scientist_N,datorforskare_N
CN computer_N security_N,datasäkerhet_N
concurrency_N,samtidighet_N
CN control_N flow_N,programflöde_N
cyberbullying_N mobbning N,nätmobbning_N
cyberspace_N,cyberrymd_N
CN data_N center_N,datorhall_N
CN data_N mining_N,datautvinning_N
CN data_N type_N,datatyp_N
CN signal_N processing_N,signalbehandling_N
CN domain_N name_N system_N,domännamnssystem_N
download_N,nedladdning_N
event_N,händelse_N
executable_A,exekverbar_A
file_N,fil_N
CN exception_N handling_N,undantagshantering_N
CN feasibility_N study_N,förstudie_N
CN filename_N extension_N,filändelse_N
verification_N,verifiering_N
CN game_N theory_N,spelteori_N
CN graph_N theory_N,grafteori_N
CN hash_N function_N,hashfunktion_N
CN hash_N table_N,hashtabell_N
heapsort_N,heapsort_N
CN human-computer_N interation_N,människa-datorinteraktion_N
CN integrated_A development_N environment_N,CN integrerad_A utvecklingsmiljö_N
CN imperative_A programming_N,CN imperativ_A programmering_N
inheritance_N,arv_N
CN insertion_N sort_N,insättningssortering_N
array_N,fält_N
CN binary_A tree_N,binärträd_N
bioinformatics_N,bioinformatik_N
CN boolean_A data_N type_N,CN boolesk_A datatyp_N
crypto_N,krypto_N
CN computer_N vision_N,datorseende_N
concatenation_N,konkatenering_N
agent_N,agent_N
invariant_A,invariant_A
iteration_N,iteration_N
Java_N,Java_N
CN programming_N language_N,programspråk_N
CN linear_A search_N,linjärsökning_N
CN linked_A list_N,CN länkad_A lista_N
CN logic_N programming_N,logikprogrammering_N
CN machine_N learning_N,maskininlärning_N
CN number_N theory_N,talteori_N
CN numerical_A analysis_N,CN numerisk_A analys_N
CN operating_A system_N,operativsystem_N
CN optical_N fiber_N,fiberoptik_N
CN pair_N programming_N,parprogrammering_N
CN priority_N queue_N,prioritetskö_N
CN quantum_N computer_N,kvantdator_N
queue_N,kö_N
recursion_N,rekursion_N
CN relational_A database_N,relationsdatabas_N
CN requirements_N analysis_N,kravhantering_N
CN routing_N table_N,dirigeringstabell_N
CN selection_N sort_N,urvalssortering_N
sequence_N,följd_N
software_N,programvara_N
CN software_N deployment_N,mjukvaruimplementering_N
CN software_N development_N,programutvecklingsmetodik_N
CN sorting_N algorithm_N,sorteringsalgoritm_N
CN source_N code_N,källkod_N
string_N,sträng_N
CN user_N agent_N,användaragent_N
CN user_N interface_N,användargränssnitt_N
CN waterfall_N model_N,vattenfallsmodell_N
Wi-Fi_N,Wi-Fi_N
XHTML_N,XHTML_N
CN mathematical_A model_N,CN matematisk_A model_N
generalization_N,generalisering_N
concept_N,begrepp_N
blueprint_N,blåkopia_N
customer_N,kund_N
CN end_N user_N,slutanvändare_N
calculation_N,beräkning_N
productivity_N,produktivitet_N
CN dynamic_A programming_N,CN dynamisk_A programmering_N
CN computer_N interaction_N,datorinteraktion_N
CN development_N environment_N,utvecklingsmiljö_N
CN computer_N program_N,datorprogram_N
programmer_N,programmerare_N
CN word_N processor_N,ordbehandlare_N
spreadsheet_N,kalkylprogram_N
CN accounting_N software_N,bokföringsprogram_N
CN web_N browser_N,webbläsare_N
CN media_N player_N,mediespelare_N
CN flight_N simulator_N,flygsimulator_N
CN use_N case_N,användningsfall_N
CN class_N diagram_N,klassmodell_N
theoretical_A,teoretisk_A
discreet_A,diskret_A
mathematics_N,matematik_N
CN discrete_A mathematics_N,CN diskret_A matematik_N
CN probability_N distribution_N,sannolikhetsfördelning_N
CN time_N complexity_N,tidskomplexitet_N
number_N,tal_N
CN set_N theory_N,mängdteori_N
CN empty_A set_N,CN tomma_A mängden_N
CN software_N tool_N,programmeringsverktyg_N
biology_N,biologi_N
telecommunications_N,telekommunikation_N
CN access_N control_N,åtkomstkontroll_N
CN domain_N name_N,domännamn_N
ip-adress_N,ip-address_N
whitelist_N,vitlista_V
CN graphics_A card_N,grafikkort_N
CN truth_N value_N,sanningsvärde_N
variable_N,variabel_N
